Solubility(%),Yield(uM),Yield(ug/ml),Calculated MW(kDa),Calculated pI,Sequence length,Sequence mass,Type of gene product numeric,Cell location numeric,Steric parameter,Polarizability,Volume,Hydrophobicity,Helix probability,Sheet probability
15.0,2.3,74.0,32.275,6.94,261,28190,0,0,2.092605363984672,0.138390804597701,3.1639080459770117,0.3951724137931034,0.3004980842911879,0.2903065134099618
55.0,1.7,79.0,45.1,5.5,405,45127,0,0,2.1654567901234536,0.1473086419753082,3.349555555555555,0.440345679012346,0.2913333333333326,0.2984444444444443
41.0,1.0,43.0,42.5,5.6,380,42558,0,0,2.0877105263157887,0.1520263157894732,3.360105263157896,0.3650000000000006,0.2951315789473679,0.2927368421052631
78.0,2.0,54.0,27.1,4.7,256,27144,8,0,2.090546874999998,0.1323828124999999,3.0136328125000005,0.346484375,0.3047265625000003,0.2936718750000002
53.0,3.5,116.0,33.5,7.8,313,33513,9,0,2.104568690095844,0.1377316293929709,3.0884345047923345,0.3552715654952079,0.2971246006389775,0.2934185303514378
36.0,1.6,73.0,45.7,6.2,428,45703,9,1,2.068528037383176,0.1374766355140182,3.08908878504673,0.3854906542056073,0.2960514018691581,0.2909579439252338
83.0,2.8,29.0,10.5,6.8,95,10479,9,0,2.0776842105263165,0.1449473684210526,3.263157894736842,0.3622105263157894,0.2842105263157896,0.2977894736842104
34.0,1.7,33.0,20.2,6.5,176,20170,9,0,2.235397727272726,0.1588068181818182,3.546534090909091,0.5319318181818186,0.2951136363636368,0.3007954545454545
81.0,3.1,56.0,18.0,5.7,159,17999,0,0,2.238364779874213,0.1504402515723269,3.433459119496854,0.4066666666666664,0.2900628930817613,0.3020125786163523
27.0,1.8,56.0,31.258,5.9,280,31297,0,0,2.121535714285712,0.1475714285714282,3.375607142857142,0.4338571428571433,0.2904642857142858,0.2935000000000002
67.0,4.0,55.0,13.8,6.1,125,13867,10,0,2.3103199999999986,0.14296,3.3144800000000005,0.4794399999999997,0.2783200000000002,0.3137600000000001
95.0,1.1,40.0,35.1,6.4,329,35114,0,0,2.217963525835865,0.1349848024316107,3.1107294832826744,0.4809422492401218,0.2921276595744677,0.300182370820669
86.0,3.6,168.0,47.2,7.6,428,47284,0,1,2.107873831775698,0.1458878504672892,3.266822429906544,0.2916588785046731,0.3023598130841114,0.2888785046728975
12.0,4.2,128.0,30.6,10.3,271,30579,3,3,2.0578966789667863,0.1570110701107007,3.4400738007380074,0.3525092250922514,0.3047970479704795,0.2877859778597785
33.0,1.5,38.0,24.8,9.9,216,24791,1,0,2.241157407407404,0.1601388888888887,3.566527777777777,0.3927314814814814,0.2872222222222228,0.3037037037037039
44.0,2.1,52.0,24.8,8.6,219,24861,0,0,2.246940639269404,0.1499543378995433,3.483378995433789,0.3642922374429225,0.2961643835616444,0.3023744292237444
38.0,0.3,33.0,109.6,5.0,968,109769,3,0,2.168791322314036,0.1533471074380167,3.442964876033056,0.3455991735537194,0.3056508264462806,0.2915289256198346
81.0,2.7,68.0,25.5,6.3,231,25519,0,0,2.220649350649348,0.1450216450216448,3.2788311688311698,0.3904761904761905,0.287619047619048,0.3037662337662338
8.0,1.0,54.0,56.021,6.42,500,56103,0,0,2.1988999999999974,0.1522999999999996,3.388560000000002,0.4157399999999999,0.2920999999999995,0.2990799999999999
30.0,0.2,15.0,61.016,5.63,566,61157,0,0,2.1067314487632447,0.138727915194346,3.145812720848061,0.4386219081272084,0.2947526501766778,0.2969081272084806
28.0,0.7,22.0,33.355,7.09,292,33384,5,0,2.1810273972602707,0.1560616438356162,3.520993150684932,0.4294520547945207,0.2912328767123286,0.297568493150685
18.0,0.8,24.0,28.2,10.5,254,28244,11,2,2.3393700787401546,0.1579921259842518,3.485118110236222,0.7691732283464567,0.2946850393700789,0.3167716535433074
9.0,2.5,64.0,24.979,9.79,232,24999,12,0,2.124827586206893,0.1399568965517241,3.154956896551724,0.4638362068965519,0.2961637931034487,0.2937068965517244
11.0,0.2,10.0,59.5,9.6,536,59533,12,2,2.2841044776119364,0.1550746268656712,3.4403917910447803,0.7060261194029852,0.3062313432835813,0.3109888059701496
22.0,0.8,27.0,36.1,7.9,327,36163,12,1,2.136391437308862,0.1457492354740057,3.325535168195721,0.4133333333333341,0.2938226299694187,0.3001529051987768
8.0,0.3,19.0,63.92,6.82,551,63975,5,0,2.24696914700544,0.1626134301270414,3.6371869328493696,0.4611252268602541,0.2999999999999992,0.3001270417422866
93.0,1.3,28.0,22.5,6.1,201,22487,0,0,2.1610945273631823,0.1498009950248756,3.373084577114425,0.4084079601990053,0.294477611940299,0.2955223880597016
70.0,0.4,21.0,49.8,6.3,466,49882,0,0,2.1013304721029997,0.1353862660944202,3.076266094420604,0.345751072961374,0.2890343347639478,0.2938412017167383
58.0,1.4,56.0,39.5,5.7,363,39517,0,0,2.10044077134986,0.1403581267217626,3.1926170798898075,0.3847107438016534,0.2954545454545452,0.2909366391184577
10.0,1.4,81.0,57.232,5.84,523,57298,0,0,2.159024856596554,0.1443594646271507,3.215869980879544,0.3181835564053538,0.2990822179732309,0.2968260038240921
8.0,1.5,54.0,35.658,6.29,314,35695,5,0,2.2387261146496784,0.1532484076433117,3.4714012738853524,0.4257961783439493,0.3,0.3052547770700637
3.0,1.0,64.0,62.919,6.24,574,62984,0,0,2.2071777003484256,0.1440592334494772,3.2540940766550546,0.4363240418118467,0.288571428571428,0.3047560975609761
15.0,2.3,41.0,17.959,9.55,163,17977,0,0,2.222576687116562,0.1483435582822086,3.302392638036809,0.3431288343558281,0.2967484662576691,0.3019018404907976
79.0,3.9,68.0,17.4,6.4,152,17360,1,0,2.1731578947368404,0.1566447368421052,3.505394736842104,0.4144078947368422,0.3073684210526319,0.2940131578947371
66.0,0.8,27.0,34.8,7.0,313,34878,0,0,2.126613418530347,0.1470926517571881,3.350319488817891,0.2901916932907348,0.3028434504792331,0.2877316293929713
25.0,1.7,23.0,13.6,7.4,121,13627,13,3,2.313636363636365,0.1549586776859504,3.434545454545452,0.4148760330578513,0.3062809917355376,0.3045454545454545
22.0,0.3,21.0,63.8,10.2,588,63877,0,3,2.1557993197278877,0.1408673469387753,3.211139455782315,0.3601190476190478,0.2854761904761899,0.2996938775510208
35.0,1.3,70.0,53.3,5.8,495,53344,0,0,2.10543434343434,0.1396363636363632,3.120181818181821,0.3778787878787876,0.2978989898989894,0.2926464646464649
59.0,1.7,79.0,47.4,5.8,452,47447,0,0,2.096238938053092,0.1325221238938049,2.974004424778764,0.415199115044248,0.2967920353982294,0.2931858407079648
68.0,1.7,79.0,46.9,5.6,438,46974,0,0,2.07022831050228,0.137534246575342,3.0950913242009164,0.3946803652968037,0.2962785388127847,0.2901598173515983
49.0,1.4,52.0,37.8,10.3,355,37815,0,4,2.086140845070418,0.1373521126760559,3.0954929577464823,0.4146478873239442,0.2991830985915493,0.2941126760563383
77.0,0.1,5.0,53.6,5.9,491,53626,0,0,2.180203665987777,0.1406924643584517,3.21309572301426,0.3663543788187373,0.2936048879837059,0.2949694501018331
97.0,0.2,7.0,32.8,5.1,306,32840,0,0,2.0441503267973826,0.1378104575163396,3.118888888888889,0.437418300653595,0.2977450980392156,0.2913071895424839
24.0,1.8,55.0,31.4,8.2,276,31434,13,3,2.1708333333333285,0.1538405797101446,3.47753623188406,0.3352536231884059,0.3003260869565219,0.2953623188405799
85.0,1.2,55.0,45.3,6.3,420,45330,13,0,2.1741428571428525,0.1398571428571424,3.143357142857143,0.3748333333333334,0.2904761904761899,0.3032142857142859
80.0,2.2,87.0,40.3,4.7,383,40324,13,0,2.07848563968668,0.1309138381201041,2.9720365535248034,0.330861618798956,0.2938381201044381,0.2900261096605745
17.0,1.9,63.0,33.917,6.27,305,33956,0,0,2.2071803278688518,0.1497377049180324,3.3487213114754075,0.4067868852459019,0.2944918032786883,0.2998360655737705
58.0,0.4,43.0,101.9,5.5,901,102023,12,0,2.15326304106547,0.1530299667036628,3.434650388457268,0.2791231964483911,0.306714761376248,0.2914872364039954
108.0,1.1,17.0,14.9,6.0,129,14927,0,0,2.19767441860465,0.157751937984496,3.608992248062013,0.3831782945736433,0.3050387596899228,0.2940310077519382
92.0,6.1,44.0,7.3,6.1,65,7306,1,0,2.110307692307692,0.1415384615384616,3.317692307692308,0.3444615384615385,0.2753846153846154,0.3023076923076924
80.0,1.5,43.0,28.3,7.3,247,28292,1,0,2.231255060728741,0.1582591093117407,3.552793522267208,0.4582186234817817,0.302672064777328,0.2985425101214577
64.0,3.2,72.0,22.6,6.6,206,22622,0,1,2.220436893203882,0.1442233009708737,3.252281553398059,0.3633980582524272,0.3077669902912628,0.2980097087378643
17.0,1.4,70.0,50.569,6.55,461,50615,14,0,2.242494577006504,0.1435791757049888,3.266681127982652,0.4538394793926248,0.296832971800433,0.3022342733188725
10.0,1.5,23.0,15.6,6.2,146,15622,15,3,2.13876712328767,0.1363013698630137,3.056095890410958,0.4502054794520549,0.2795890410958906,0.301917808219178
60.0,0.7,14.0,20.5,6.1,183,20536,0,0,2.237486338797812,0.1468306010928961,3.379726775956282,0.4189617486338801,0.2843169398907108,0.3024590163934427
3.0,2.5,80.0,32.1,10.3,284,32122,11,2,2.336549295774643,0.163133802816901,3.55598591549296,0.6429929577464785,0.304119718309859,0.3126760563380281
4.0,2.5,72.0,29.396,6.65,254,29425,5,0,2.1435433070866114,0.1596850393700785,3.599133858267715,0.2847244094488187,0.3207874015748035,0.2861023622047243
16.0,0.5,53.0,99.553,5.62,887,99668,0,0,2.134284103720398,0.1504058624577227,3.38820744081172,0.3293912063134172,0.2921645997745198,0.2936189402480274
95.0,1.2,80.0,66.0,5.2,630,66096,0,0,2.12203174603174,0.1289047619047615,2.986714285714286,0.3180317460317462,0.3001428571428567,0.2961746031746034
79.0,3.3,168.0,50.6,6.2,474,50688,0,0,2.1668354430379706,0.1373417721518982,3.11284810126582,0.3692405063291142,0.2905063291139231,0.2989240506329116
13.0,0.3,23.0,69.3,8.9,617,69362,1,1,2.1571474878443984,0.1445056726094007,3.348265802269056,0.2296434359805518,0.2920259319286871,0.295202593192869
90.0,0.5,48.0,93.4,5.4,865,93498,0,0,2.120566473988432,0.1375375722543351,3.163526011560689,0.3810057803468212,0.2921502890173399,0.2935144508670523
83.0,0.8,11.0,13.9,4.8,120,13942,1,0,2.0781666666666663,0.1622500000000001,3.5427499999999976,0.3140833333333332,0.3138333333333335,0.2906666666666667
36.0,4.4,132.0,30.3,5.7,264,30385,0,0,2.320530303030303,0.1572348484848481,3.543977272727272,0.398257575757576,0.2903409090909091,0.3075757575757575
28.0,1.4,45.0,32.285,5.87,288,32321,0,0,2.2101736111111103,0.1514236111111107,3.3690625000000014,0.4305555555555556,0.2884027777777779,0.3023958333333337
22.0,1.7,21.0,12.8,7.7,115,12854,1,1,2.082782608695652,0.1530434782608696,3.360260869565216,0.4228695652173913,0.2993043478260872,0.2958260869565216
6.0,1.2,65.0,56.5,6.6,516,56556,0,1,2.14160852713178,0.142441860465116,3.246182170542641,0.4273837209302319,0.2863372093023247,0.2950000000000004
19.0,0.5,47.0,86.6,5.8,796,86747,0,2,2.178190954773865,0.1389321608040199,3.227638190954763,0.4775125628140713,0.27895728643216,0.3020728643216085
79.0,1.6,33.0,19.9,11.2,176,19934,0,0,2.2099999999999973,0.1530113636363635,3.4996022727272744,0.4482386363636364,0.3000000000000004,0.2970454545454546
48.0,0.3,9.0,25.1,6.7,220,25097,0,0,2.232590909090906,0.1587727272727271,3.502,0.4293181818181819,0.2947727272727277,0.3006818181818183
6.0,1.7,59.0,34.612,9.16,308,34647,10,0,2.158409090909086,0.153798701298701,3.4349350649350643,0.3585389610389614,0.3013636363636361,0.2944805194805195
5.0,0.8,24.0,28.5,10.2,256,28516,10,2,2.4698828124999994,0.1584374999999999,3.490234375000002,0.8116796874999994,0.2827343750000002,0.3319531250000003
18.0,0.4,7.0,16.524,6.74,146,16540,10,0,2.1807534246575337,0.1541095890410958,3.4388356164383564,0.4450684931506848,0.2995890410958908,0.3004109589041098
12.0,1.1,50.0,46.3,10.4,409,46315,8,1,2.2235207823960867,0.1555256723716377,3.4841320293398588,0.3886063569682148,0.2909046454767719,0.3010513447432761
75.0,2.6,37.0,13.8,6.9,126,13834,0,0,2.2196825396825384,0.1461904761904762,3.2319841269841256,0.3659523809523806,0.2985714285714289,0.3015873015873015
22.0,1.7,60.0,34.564,5.7,300,34607,16,0,2.234966666666664,0.1585666666666664,3.5704,0.4210000000000002,0.3050666666666665,0.2985333333333335
52.0,4.6,146.0,31.6,6.9,283,31598,0,0,2.222756183745581,0.1501766784452294,3.385618374558303,0.3643109540636043,0.3020141342756184,0.2986219081272088
44.0,2.9,83.0,28.2,5.9,264,28237,0,0,2.1292045454545416,0.1375378787878787,3.096893939393938,0.4367045454545457,0.2969696969696972,0.296969696969697
15.0,0.6,27.0,44.8,6.5,412,44899,15,1,2.200679611650482,0.1391019417475726,3.178106796116506,0.4121844660194173,0.260485436893203,0.3077912621359224
41.0,0.8,17.0,21.1,7.2,198,21112,15,1,2.125,0.1360606060606059,3.0436363636363644,0.442171717171717,0.2721717171717177,0.3040909090909092
24.0,0.9,18.0,21.0,8.7,201,21047,15,1,2.1998507462686536,0.1314427860696517,2.9494527363184098,0.3805970149253732,0.2801492537313441,0.3119900497512435
26.0,1.1,23.0,20.3,8.6,189,20307,15,1,2.185661375661373,0.1355026455026454,3.089153439153441,0.349365079365079,0.2714285714285718,0.300740740740741
9.0,0.1,12.0,95.4,4.9,865,95499,2,5,2.1163005780346724,0.143364161849711,3.237005780346808,0.3420693641618501,0.2741502890173403,0.2979421965317922
77.0,0.7,14.0,20.1,7.3,194,20118,15,1,2.0654639175257703,0.1268041237113402,2.8540721649484557,0.3238144329896903,0.2713402061855675,0.2951030927835051
67.0,1.2,22.0,18.1,6.4,159,18079,0,0,2.255911949685534,0.1520754716981131,3.5024528301886777,0.4459119496855347,0.3004402515723274,0.298364779874214
23.0,0.8,44.0,53.833,10.2,465,53871,0,0,2.208473118279569,0.16058064516129,3.626021505376349,0.3060430107526885,0.3037204301075263,0.2945591397849464
73.0,1.0,17.0,17.5,5.9,151,17528,5,0,2.096556291390726,0.1576821192052979,3.556092715231784,0.1652317880794702,0.3149668874172189,0.283907284768212
20.0,0.6,16.0,26.203,7.62,234,26229,17,0,2.1671794871794843,0.1494444444444443,3.377521367521367,0.3509401709401709,0.2980341880341883,0.2986752136752139
4.0,0.3,29.0,89.05,6.56,809,89148,8,0,2.104177997527799,0.144054388133498,3.29321384425216,0.3912731767614342,0.3076143386897392,0.2885784919653896
7.0,0.8,69.0,82.1,5.9,747,82182,12,5,2.0986211512717494,0.1415127175368138,3.2320080321285083,0.2995983935742974,0.2787014725568937,0.296559571619813
46.0,2.2,62.0,28.9,7.8,265,28886,12,0,2.1548301886792425,0.1417735849056602,3.238301886792452,0.4547169811320756,0.2957735849056605,0.2958113207547172
33.0,1.9,85.0,45.3,4.9,426,45366,0,0,2.1043896713615,0.1342723004694831,3.058427230046952,0.4661971830985914,0.2882629107981215,0.2975821596244131
38.0,0.6,32.0,50.3,10.0,473,50349,12,2,2.179048625792811,0.1417336152219868,3.149661733615223,0.6118816067653269,0.296088794926003,0.3006765327695564
84.0,1.3,15.0,12.1,5.0,114,12100,1,0,2.023859649122806,0.1307017543859649,2.973421052631579,0.3733333333333332,0.2678070175438597,0.2950877192982454
106.0,1.1,26.0,24.3,5.9,232,24354,0,0,2.115517241379308,0.1337931034482758,2.977887931034482,0.4394827586206898,0.2966379310344832,0.2971120689655172
4.0,0.4,23.0,59.333,7.6,505,59383,0,0,2.244891089108907,0.1666732673267325,3.7255643564356458,0.3754851485148515,0.3054257425742566,0.2993267326732672
31.0,0.9,47.0,49.3,9.2,474,49354,0,1,2.0160970464134977,0.1277637130801685,2.9065400843881863,0.3386497890295359,0.2811603375527417,0.2900210970464138
9.0,1.8,77.0,43.642,7.06,385,43687,5,0,2.1832207792207794,0.1563376623376619,3.4709090909090943,0.3672207792207795,0.3067012987012982,0.2922597402597404
93.0,2.1,32.0,15.1,8.4,128,15096,1,0,2.232499999999998,0.1658593749999999,3.717265624999997,0.186875,0.3009375000000002,0.2965625
6.0,0.5,15.0,29.8,6.8,270,29863,8,3,2.187185185185184,0.1461111111111109,3.328888888888889,0.4928888888888894,0.2884074074074076,0.2998518518518518
41.0,2.4,72.0,29.9,6.6,274,29892,0,0,2.20897810218978,0.1433211678832115,3.215036496350365,0.3701459854014596,0.2875912408759124,0.3059124087591242
64.0,1.6,47.0,29.3,6.2,264,29331,0,0,2.277765151515149,0.1472348484848482,3.325909090909089,0.3745833333333334,0.2841666666666669,0.3082196969696971
77.0,8.6,231.0,26.7,8.0,241,26744,6,0,2.1487136929460555,0.149336099585062,3.3246473029045625,0.3139834024896263,0.2995435684647307,0.2926141078838177
87.0,7.5,229.0,30.4,5.8,283,30423,3,0,2.0816254416961097,0.1399293286219079,3.1166784452296787,0.2704593639575972,0.3096113074204945,0.2918374558303885
31.0,0.6,15.0,25.9,8.2,241,25970,0,0,2.129377593360993,0.1418672199170123,3.1561825726141066,0.4000000000000006,0.2992946058091288,0.2946473029045643
110.0,2.2,45.0,20.6,8.4,185,20639,3,0,2.1729729729729703,0.1460540540540539,3.3398378378378344,0.1779999999999999,0.3045405405405409,0.292702702702703
67.0,1.1,30.0,28.4,7.4,253,28444,0,0,2.0966007905138317,0.1530830039525689,3.3874308300395253,0.3277865612648224,0.3022924901185772,0.2878656126482215
16.0,1.3,62.0,49.0,7.8,450,49071,0,2,2.250888888888887,0.1439777777777774,3.284333333333336,0.5150666666666666,0.2893555555555547,0.3067111111111114
32.0,0.5,46.0,90.4,5.0,810,90553,14,5,2.129888888888882,0.1479876543209875,3.3373827160493734,0.3122098765432096,0.2769259259259252,0.2976913580246914
49.0,1.2,21.0,17.7,10.3,161,17688,3,1,2.024347826086956,0.1477639751552794,3.233975155279501,0.176583850931677,0.3157763975155284,0.2850931677018635
48.0,2.6,93.0,36.0,6.9,341,36038,0,0,2.1660410557184733,0.1341935483870966,3.003695014662757,0.422316715542522,0.2795014662756593,0.3026099706744869
28.0,1.2,21.0,17.016,8.2,151,17033,0,0,2.2603973509933746,0.153708609271523,3.4812582781456936,0.4556953642384104,0.2988079470198679,0.3049006622516556
22.0,4.3,121.0,28.058,7.34,262,28080,0,0,2.208320610687021,0.1385877862595418,3.099045801526718,0.3840076335877863,0.2802671755725193,0.3029770992366411
47.0,1.9,81.0,42.3,7.3,382,42382,0,0,2.165811518324603,0.1489267015706801,3.3570157068062825,0.4223560209424083,0.3089790575916227,0.2954712041884817
60.0,0.7,15.0,21.5,8.4,198,21526,0,0,2.177878787878785,0.1411111111111111,3.231363636363636,0.3984848484848484,0.3045454545454552,0.2965656565656567
32.0,0.1,19.0,129.7,5.1,1160,129905,0,0,2.1493706896551736,0.1497672413793106,3.38525862068965,0.3627672413793111,0.2984051724137923,0.2933620689655165
29.0,3.1,109.0,35.201,6.65,319,35242,0,0,2.1055485893416908,0.1454858934169275,3.3042319749216293,0.3353291536050157,0.3039811912225705,0.2885579937304078
6.0,0.4,31.0,80.495,5.58,713,80590,0,0,2.239326788218786,0.1521598877980364,3.4491304347826066,0.4442636746143062,0.2904347826086947,0.3027068723702667
82.0,1.5,22.0,14.7,6.1,129,14737,8,0,2.2520155038759686,0.1541860465116278,3.512170542635657,0.4410077519379844,0.2931007751937986,0.304341085271318
33.0,0.7,34.0,48.2,7.3,432,48204,0,0,2.1474999999999955,0.1504629629629625,3.375578703703704,0.4369212962962963,0.3058564814814809,0.2953240740740744
114.0,2.7,25.0,9.5,5.8,84,9480,3,0,2.181666666666667,0.1491666666666666,3.362023809523809,0.2988095238095237,0.2996428571428572,0.2969047619047619
109.0,2.0,15.0,7.2,6.1,66,7214,1,0,2.035151515151515,0.1433333333333333,3.1859090909090906,0.334242424242424,0.3186363636363638,0.2906060606060606
77.0,0.9,18.0,20.8,6.1,181,20877,1,0,2.1714364640883965,0.1616022099447513,3.555359116022099,0.389668508287293,0.3140331491712712,0.2940883977900554
109.0,0.8,12.0,15.6,11.4,140,15623,14,0,2.1656428571428554,0.1517142857142856,3.385857142857142,0.195142857142857,0.3112857142857147,0.2920000000000001
113.0,0.1,3.0,25.8,5.9,236,25844,18,6,2.046101694915252,0.1398305084745762,3.2006779661016957,0.3486016949152544,0.2926271186440682,0.2907627118644069
51.0,1.4,43.0,29.9,8.5,274,29912,18,6,2.166788321167881,0.1429927007299267,3.237299270072993,0.4340510948905113,0.2848175182481751,0.3044160583941608
17.0,0.5,29.0,63.61,5.28,572,63693,0,0,2.188374125874119,0.1470279720279717,3.345227272727276,0.350192307692308,0.2977097902097897,0.298374125874126
86.0,2.2,58.0,26.3,8.9,235,26362,1,0,2.222510638297869,0.1490638297872339,3.434212765957448,0.4275744680851064,0.2948510638297876,0.3038297872340427
82.0,0.9,13.0,14.2,9.7,134,14163,17,6,2.0971641791044764,0.125,3.004253731343284,0.3570149253731342,0.2817910447761196,0.3008955223880595
86.0,3.6,104.0,29.4,6.1,271,29432,12,7,2.144317343173429,0.14070110701107,3.2034317343173444,0.3405904059040593,0.2920664206642066,0.2987822878228783
23.0,1.9,73.0,37.749,6.52,343,37788,12,0,2.228804664723028,0.1455102040816323,3.2794752186588925,0.4026530612244902,0.293090379008746,0.3019825072886298
93.0,2.6,56.0,21.3,5.8,191,21294,0,0,2.177958115183244,0.1474345549738219,3.326544502617802,0.3647643979057592,0.2957591623036655,0.2983769633507855
79.0,0.4,12.0,29.4,6.3,267,29437,0,0,2.2091760299625425,0.1460299625468163,3.298464419475656,0.3879400749063673,0.3041573033707865,0.2989138576779028
8.0,1.5,50.0,33.741,8.02,304,33776,17,0,2.2013815789473656,0.1475328947368418,3.345,0.3680921052631579,0.299407894736842,0.300559210526316
10.0,1.0,30.0,29.972,10.19,266,29992,14,0,2.249812030075185,0.1507142857142856,3.4657142857142875,0.4311278195488724,0.2955263157894739,0.3045112781954888
29.0,1.8,86.0,49.4,10.4,452,49417,8,6,2.077588495575216,0.1430752212389377,3.223340707964601,0.2879867256637169,0.289690265486725,0.2916371681415932
80.0,0.4,11.0,28.4,6.1,251,28434,8,0,2.253266932270913,0.1531474103585655,3.4546613545816736,0.4258565737051795,0.2882470119521914,0.3041035856573705
73.0,2.3,40.0,17.6,8.7,155,17597,0,0,2.113161290322579,0.1555483870967741,3.450064516129029,0.2994193548387097,0.2959354838709682,0.2921935483870967
13.0,1.7,46.0,27.068,6.27,243,27099,0,0,2.1794650205761275,0.1513580246913577,3.3444032921810694,0.3563786008230454,0.3035802469135806,0.2955555555555557
61.0,0.5,13.0,29.6,7.5,261,29606,8,6,2.1747892720306488,0.1518007662835246,3.431226053639848,0.2829118773946361,0.2933333333333334,0.3004980842911877
44.0,1.8,53.0,28.9,6.8,256,28925,8,0,2.1598437499999976,0.1544531249999997,3.434726562500001,0.4233984375000002,0.3006250000000003,0.2959375
27.0,1.3,23.0,16.9,7.8,157,16872,17,1,2.099745222929936,0.1389808917197452,3.089554140127388,0.3910828025477705,0.28687898089172,0.2970700636942678
92.0,1.9,40.0,20.8,6.8,192,20815,0,0,2.1257291666666647,0.1434895833333333,3.161302083333332,0.3461458333333331,0.2939583333333337,0.2929166666666669
33.0,2.0,56.0,28.6,8.1,255,28636,8,0,2.1871372549019585,0.1503529411764705,3.394156862745099,0.4218039215686278,0.2782352941176472,0.3033333333333333
26.0,1.0,27.0,28.0,9.6,246,28021,1,1,2.185569105691056,0.1541463414634145,3.51117886178862,0.4003658536585366,0.2800813008130083,0.306951219512195
107.0,0.4,4.0,10.8,10.2,92,10847,2,0,2.263695652173913,0.1693478260869565,3.7735869565217386,0.3639130434782609,0.2971739130434785,0.2990217391304346
83.0,3.8,36.0,9.4,7.4,86,9406,2,0,2.152209302325581,0.1446511627906977,3.2260465116279056,0.2841860465116279,0.3102325581395351,0.2873255813953487
