JW_ID,ECK number,B number,Gene name K-12,Locus name K-12,Synonyms of locus names K-12,Solubility(%),Yield(uM),Yield(ug/ml),Minus Sol,TF Sol,GroE Sol,KJE Sol,Minus(uM),TF(uM),GroE(uM),KJE(uM),Minus(ug/ml),TF(ug/ml),GroE(ug/ml),KJE(ug/ml),Calculated MW(kDa),Calculated pI,Type of gene product,Gene product description,Cell location,Structure (PDB) id,SCOP assignment
JW0030,ECK0033,b0032,carA,carA,arg+ura -!- cap -!- pyrA -!- arg,60.0,1.1,44.0,,,,,,,,,,,,,41.4,6.4,e,"carbamoyl phosphate synthetase small subunit, glutamine amidotransferase",Cytoplasmic,1CE8,"52021; Carbamoyl phosphate synthetase, small subunit N-terminal domain 52317; Class I glutamine amidotransferase-like"
JW5004,ECK0036,b0035,caiE,caiE,,19.0,3.1,67.0,19.46,26.37,77.59,39.47,3.589,3.09,3.76,4.422,76.18,65.59,79.8,93.86,21.226,7.04,pe,predicted acyl transferase,Cytoplasmic,,51161; Trimeric LpxA-like enzymes
JW0038,ECK0040,b0039,caiA,caiA,yaaO,41.0,1.0,43.0,,,,,,,,,,,,,42.5,5.6,e,"crotonobetaine reductase subunit II, FAD-binding",Cytoplasmic,,"47203; Acyl-CoA dehydrogenase (flavoprotein), C-terminal domain 56645; Acyl-CoA dehydrogenase (flavoprotein), N-terminal and middle domains"
JW0040,ECK0042,b0041,fixA,fixA,yaaQ,78.0,2.0,54.0,,,,,,,,,,,,,27.1,4.7,pe,"predicted electron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain",Cytoplasmic,,52431; ETFP adenine nucleotide-binding domain-like
JW0041,ECK0043,b0042,fixB,fixB,yaaR,53.0,3.5,116.0,,,,,,,,,,,,,33.5,7.8,pc,"predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like",Cytoplasmic,,52431; ETFP adenine nucleotide-binding domain-like 52467; DHS-like NAD/FAD-binding domain
JW0042,ECK0044,b0043,fixC,fixC,yaaS,36.0,1.6,73.0,,,,,,,,,,,,,45.7,6.2,pc,"predicted oxidoreductase, FAD/NAD(P)-binding domain",Periplasmic,,51905; FAD/NAD(P)-binding domain
JW0043,ECK0045,b0044,fixX,fixX,yaaT,83.0,2.8,29.0,,,,,,,,,,,,,10.5,6.8,pc,predicted 4Fe-4S ferredoxin-type protein,Cytoplasmic,,54862; 4Fe-4S ferredoxins
JW0045,ECK0047,b0046,kefF,kefF,yabF,34.0,1.7,33.0,,,,,,,,,,,,,20.2,6.5,pc,flavoprotein subunit for the KefC potassium efflux system,Cytoplasmic,,52218; Flavoproteins
JW0047,ECK0049,b0048,folA,folA,tmrA -!- tmr,81.0,3.1,56.0,,,,,,,,,,,,,18.0,5.7,e,dihydrofolate reductase,Cytoplasmic,1DDS,53597; Dihydrofolate reductases
JW0049,ECK0051,b0050,apaG,apaG,temP,67.0,4.0,55.0,,,,,,,,,,,,,13.8,6.1,pt,protein associated with Co2+ and Mg2+ efflux,Cytoplasmic,,
JW0051,ECK0053,b0052,pdxA,pdxA,,95.0,1.1,40.0,,,,,,,,,,,,,35.1,6.4,e,"4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent",Cytoplasmic,1PS6,
JW0052,ECK0054,b0053,surA,surA,,86.0,3.6,168.0,,,,,,,,,,,,,47.2,7.6,e,peptidyl-prolyl cis-trans isomerase (PPIase),Periplasmic,1M5Y,54534; FKBP-like
JW0054,ECK0056,b0055,djlA,djlA,yabH,12.0,4.2,128.0,,,,,,,,,,,,,30.6,10.3,f,"DnaJ-like protein, membrane anchored",Membrane Anchored,,46565; Chaperone J-domain
JW0055,ECK0057,b0056,yabP,yabP,,33.0,1.5,38.0,,,,,,,,,,,,,24.8,9.9,o,predicted protein,Cytoplasmic,,
JW0057,ECK0059,b0058,rluA,rluA,yabO,44.0,2.1,52.0,,,,,,,,,,,,,24.8,8.6,e,pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32),Cytoplasmic,,
JW0058,ECK0060,b0059,hepA,hepA,rapA -!- yabA,38.0,0.3,33.0,,,,,,,,,,,,,109.6,5.0,f,RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor),Cytoplasmic,,52540; P-loop containing nucleotide triphosphate hydrolases
JW0066,ECK0068,b0067,thiP,thiP,sfuB -!- yabK,11.0,0.2,10.0,,,,,,,,,,,,,59.5,9.6,t,fused subunits of thiamin transporter membrane components of ABC superfamily,Integral Membrane Protein,,
JW0067,ECK0069,b0068,tbpA,tbpA,sfuA -!- thiB -!- yabI -!- yabL,22.0,0.8,27.0,,,,,,,,,,,,,36.1,7.9,t,thiamin transporter subunit periplasmic-binding component of ABC superfamily,Periplasmic,,53850; Periplasmic binding protein-like II
JW0070,ECK0073,b0071,leuD,leuD,,93.0,1.3,28.0,,,,,,,,,,,,,22.5,6.1,e,3-isopropylmalate isomerase subunit,Cytoplasmic,,"52016; Aconitase, C-terminal domain"
JW0071,ECK0074,b0072,leuC,leuC,,70.0,0.4,21.0,,,,,,,,,,,,,49.8,6.3,e,"3-isopropylmalate isomerase subunit, dehydratase component",Cytoplasmic,,"53732; Aconitase, first 3 domains"
JW0076,ECK0079,b0077,ilvI,ilvI,,3.0,1.0,64.0,3.25,13.8,31.09,84.73,1.619,1.284,1.1,1.4,101.88,80.79,69.19,88.1,62.919,6.24,e,"acetolactate synthase III, large subunit",Cytoplasmic,,52467; DHS-like NAD/FAD-binding domain 52518; Thiamin diphosphate-binding fold (THDP-binding)
JW0077,ECK0080,b0078,ilvH,ilvH,brnP,15.0,2.3,41.0,5.95,6.52,8.55,6.7,6.289,6.287,6.765,6.77,112.95,112.91,121.49,121.59,17.959,9.55,e,"acetolactate synthase III, thiamin-dependent, small subunit",Cytoplasmic,,55021; Regulatory domain in the aminoacid metabolism
JW0079,ECK0082,b0081,mraZ,mraZ,yabB,79.0,3.9,68.0,,,,,,,,,,,,,17.4,6.4,o,conserved protein,Cytoplasmic,,
JW0080,ECK0083,b0082,mraW,mraW,yabC,66.0,0.8,27.0,,,,,,,,,,,,,34.8,7.0,e,S-adenosyl-dependent methyltransferase activity on membrane-located substrates,Cytoplasmic,,53335; S-adenosyl-L-methionine-dependent methyltransferases
JW0081,ECK0084,b0083,ftsL,ftsL,yabD -!- mraR,25.0,1.7,23.0,,,,,,,,,,,,,13.6,7.4,cp,membrane bound cell division protein at septum containing leucine zipper motif,Membrane Anchored,,
JW0082,ECK0085,b0084,ftsI,ftsI,pbpB -!- sep,22.0,0.3,21.0,,,,,,,,,,,,,63.8,10.2,e,transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3),Membrane Anchored,,"56519; Penicillin-binding protein 2x (pbp-2x), N-terminal domain 56601; beta-Lactamase/D-ala carboxypeptidase"
JW0083,ECK0086,b0085,murE,murE,,35.0,1.3,70.0,,,,,,,,,,,,,53.3,5.8,e,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase,Cytoplasmic,,"53244; MurD-like peptide ligases, peptide-binding domain 53623; MurD-like peptide ligases, catalytic domain 63418; MurE/MurF N-terminal domain"
JW0088,ECK0091,b0090,murG,murG,,49.0,1.4,52.0,,,,,,,,,,,,,37.8,10.3,e,N-acetylglucosaminyl transferase,Membrane Associated,1NLM,53756; UDP-Glycosyltransferase/glycogen phosphorylase
JW0091,ECK0094,b0093,ftsQ,ftsQ,,24.0,1.8,55.0,,,,,,,,,,,,,31.4,8.2,cp,membrane anchored protein involved in growth of wall at septum,Membrane Anchored,,
JW0092,ECK0095,b0094,ftsA,ftsA,divA,85.0,1.2,55.0,,,,,,,,,,,,,45.3,6.3,cp,ATP-binding cell division protein involved in recruitment of FtsK to Z ring,Cytoplasmic,,53067; Actin-like ATPase domain
JW0093,ECK0096,b0095,ftsZ,ftsZ,sfiB -!- sulB,80.0,2.2,87.0,,,,,,,,,,,,,40.3,4.7,cp,GTP-binding tubulin-like cell division protein,Cytoplasmic,,"52490; Tubulin, GTPase domain 55307; Tubulin, C-terminal domain"
JW0096,ECK0099,b0098,secA,secA,azi -!- pea -!- prlD,58.0,0.4,43.0,,,,,,,,,,,,,101.9,5.5,t,"preprotein translocase subunit, ATPase that targets protein precursors to the SecYE core translocon",Cytoplasmic,,52540; P-loop containing nucleotide triphosphate hydrolases
JW5008,ECK0101,b0101,yacG,yacG,,92.0,6.1,44.0,,,,,,,,,,,,,7.3,6.1,o,conserved protein,Cytoplasmic,1LV3,
JW0099,ECK0102,b0102,yacF,yacF,,80.0,1.5,43.0,,,,,,,,,,,,,28.3,7.3,o,conserved protein,Cytoplasmic,,
JW0110,ECK0113,b0114,aceE,aceE,,16.0,0.5,53.0,36.68,120.33,41.3,58.01,0.095,0.083,0.249,0.226,9.43,8.22,24.82,22.54,99.553,5.62,e,"pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding",Cytoplasmic,1RP7,52518; Thiamin diphosphate-binding fold (THDP-binding) 52922; Transketolase C-terminal domain-like
JW0111,ECK0114,b0115,aceF,aceF,,95.0,1.2,80.0,,,,,,,,,,,,,66.0,5.2,e,"pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2",Cytoplasmic,,47005; Peripheral subunit-binding domain of 2-oxo acid dehydrogenase complex 51230; Single hybrid motif 52777; CoA-dependent acyltransferases
JW0112,ECK0115,b0116,lpd,lpd,dhl -!- lpdA,79.0,3.3,168.0,,,,,,,,,,,,,50.6,6.2,e,"lipoamide dehydrogenase, E3 component is part of three enzyme complexes",Cytoplasmic,,"51905; FAD/NAD(P)-binding domain 55424; FAD/NAD-linked reductases, dimerisation (C-terminal) domain"
JW0113,ECK0116,b0117,yacH,yacH,orf(ace),13.0,0.3,23.0,,,,,,,,,,,,,69.3,8.9,o,predicted protein,Periplasmic,,
JW0115,ECK0118,b0119,yacL,yacL,,83.0,0.8,11.0,,,,,,,,,,,,,13.9,4.8,o,conserved protein,Cytoplasmic,,
JW0117,ECK0120,b0121,speE,speE,,28.0,1.4,45.0,58.26,63.44,98.92,79.23,1.005,1.078,1.118,1.266,32.46,34.79,36.09,40.88,32.285,5.87,e,spermidine synthase (putrescine aminopropyltransferase),Cytoplasmic,,53335; S-adenosyl-L-methionine-dependent methyltransferases
JW0118,ECK0121,b0122,yacC,yacC,,22.0,1.7,21.0,,,,,,,,,,,,,12.8,7.7,o,predicted protein,Periplasmic,,
JW0124,ECK0127,b0128,yadH,yadH,,5.0,0.8,24.0,,,,,,,,,,,,,28.5,10.2,pt,predicted transporter subunit membrane component of ABC superfamily,Integral Membrane Protein,,
JW5010,ECK0131,b0132,yadD,yadD,,22.0,1.7,60.0,40.66,37.22,53.1,80.11,1.069,1.625,1.963,1.32,36.95,56.17,67.86,45.62,34.564,5.7,ph,predicted transposase,Cytoplasmic,,
JW0131,ECK0134,b0135,yadC,yadC,,15.0,0.6,27.0,,,,,,,,,,,,,44.8,6.5,ps,predicted fimbrial-like adhesin protein,Periplasmic,,49401; Bacterial adhesins
JW0133,ECK0136,b0137,yadL,yadL,,24.0,0.9,18.0,,,,,,,,,,,,,21.0,8.7,ps,predicted fimbrial-like adhesin protein,Periplasmic,,49401; Bacterial adhesins
JW0134,ECK0137,b0138,yadM,yadM,,26.0,1.1,23.0,,,,,,,,,,,,,20.3,8.6,ps,predicted fimbrial-like adhesin protein,Periplasmic,,49401; Bacterial adhesins
JW0137,ECK0140,b0141,yadN,yadN,,77.0,0.7,14.0,,,,,,,,,,,,,20.1,7.3,ps,predicted fimbrial-like adhesin protein,Periplasmic,,49401; Bacterial adhesins
JW0138,ECK0141,b0142,folK,folK,,67.0,1.2,22.0,,,,,,,,,,,,,18.1,6.4,e,2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase,Cytoplasmic,1Q0N,"55083; 6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase, HPPK"
JW0141,ECK0144,b0145,dksA,dksA,msmA,73.0,1.0,17.0,,,,,,,,,,,,,17.5,5.9,r,"transcriptional regulator of rRNA transcription, DnaK suppressor protein",Cytoplasmic,,
JW0142,ECK0145,b0146,sfsA,sfsA,sfs1 -!- sfs,20.0,0.6,16.0,27.05,28.25,80.98,107.3,1.573,1.61,1.892,1.208,41.21,42.2,49.57,31.64,26.203,7.62,pr,predicted DNA-binding transcriptional regulator,Cytoplasmic,,
JW0150,ECK0153,b0154,hemL,hemL,gsa -!- popC,33.0,1.9,85.0,,,,,,,,,,,,,45.3,4.9,e,glutamate-1-semialdehyde aminotransferase (aminomutase),Cytoplasmic,,53383; PLP-dependent transferases
JW5012,ECK0154,b0155,clcA,clcA,eriC -!- yadQ,38.0,0.6,32.0,,,,,,,,,,,,,50.3,10.0,t,"chloride channel, voltage-gated",Integral Membrane Protein,,56869; Membrane all-alpha
JW0152,ECK0155,b0156,yadR,yadR,,84.0,1.3,15.0,,,,,,,,,,,,,12.1,5.0,o,conserved protein,Cytoplasmic,,
JW0156,ECK0159,b0160,dgt,dgt,optA,4.0,0.4,23.0,11.84,33.69,70.78,51.93,0.346,0.34,0.578,0.505,20.55,20.19,34.31,29.96,59.333,7.6,e,deoxyguanosine triphosphate triphosphohydrolase,Cytoplasmic,,
JW0157,ECK0160,b0161,degP,degP,htrA -!- ptd,31.0,0.9,47.0,,,,,,,,,,,,,49.3,9.2,e,"serine endoprotease (protease Do), membrane-associated",Periplasmic,,50156; PDZ domain-like 50494; Trypsin-like serine proteases
JW0159,ECK0162,b0163,yaeH,yaeH,,93.0,2.1,32.0,,,,,,,,,,,,,15.1,8.4,o,conserved protein,Cytoplasmic,,
JW5014,ECK0163,b0164,yaeI,yaeI,,6.0,0.5,15.0,,,,,,,,,,,,,29.8,6.8,pe,predicted phosphatase,Membrane Anchored,,56300; Metallo-dependent phosphatases
JW0161,ECK0164,b0166,dapD,dapD,ssa,41.0,2.4,72.0,,,,,,,,,,,,,29.9,6.6,e,"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase",Cytoplasmic,,51161; Trimeric LpxA-like enzymes
JW0164,ECK0168,b0169,rpsB,rpsB,,77.0,8.6,231.0,,,,,,,,,,,,,26.7,8.0,s,30S ribosomal subunit protein S2,Cytoplasmic,1P87,52313; Ribosomal protein S2
JW0165,ECK0169,b0170,tsf,tsf,,87.0,7.5,229.0,,,,,,,,,,,,,30.4,5.8,f,protein chain elongation factor EF-Ts,Cytoplasmic,,"46934; UBA-like 54713; Elongation factor Ts (EF-Ts), dimerisation domain"
JW0172,ECK0176,b0177,yaeT,yaeT,up05 -!- ecfK -!- yzzN -!- yzzY,32.0,0.5,46.0,,,,,,,,,,,,,90.4,5.0,d,conserved protein,Outer Membrane B-barrel protein,,
JW0173,ECK0177,b0178,hlpA,hlpA,firA -!- ompH -!- skp,49.0,1.2,21.0,,,,,,,,,,,,,17.7,10.3,f,periplasmic chaperone,Periplasmic,1U2M,
JW0175,ECK0179,b0180,fabZ,fabZ,sefA -!- yaeA -!- sabA -!- sfhC,28.0,1.2,21.0,24.21,29.07,36.81,31.95,1.877,1.882,1.757,1.977,31.93,32.02,29.89,33.64,17.016,8.2,e,(3R)-hydroxymyristol acyl carrier protein dehydratase,Cytoplasmic,,54637; Thioesterase/thiol ester dehydrase-isomerase
JW0176,ECK0180,b0181,lpxA,lpxA,,22.0,4.3,121.0,33.31,44.02,88.21,102.53,2.191,1.567,2.894,1.991,61.49,43.96,81.19,55.87,28.058,7.34,e,UDP-N-acetylglucosamine acetyltransferase,Cytoplasmic,1LXA,51161; Trimeric LpxA-like enzymes
JW0177,ECK0181,b0182,lpxB,lpxB,pgsB,47.0,1.9,81.0,,,,,,,,,,,,,42.3,7.3,e,tetraacyldisaccharide-1-P synthase,Cytoplasmic,,53756; UDP-Glycosyltransferase/glycogen phosphorylase
JW0178,ECK0182,b0183,rnhB,rnhB,,60.0,0.7,15.0,,,,,,,,,,,,,21.5,8.4,e,"ribonuclease HII, degrades RNA of DNA-RNA hybrids",Cytoplasmic,,53098; Ribonuclease H-like
JW0179,ECK0183,b0184,dnaE,dnaE,polC -!- sdgC,32.0,0.1,19.0,,,,,,,,,,,,,129.7,5.1,e,DNA polymerase III alpha subunit,Cytoplasmic,,50249; Nucleic acid-binding proteins
JW0180,ECK0184,b0185,accA,accA,,29.0,3.1,109.0,65.02,76.2,109.13,93.16,1.179,1.047,1.772,0.985,41.52,36.86,62.37,34.66,35.201,6.65,e,"acetylCoA carboxylase, carboxytransferase, alpha subunit",Cytoplasmic,,52096; ClpP/crotonase
JW0185,ECK0189,b4406,yaeP,yaeP,,109.0,2.0,15.0,,,,,,,,,,,,,7.2,6.1,o,conserved protein,Cytoplasmic,,
JW0186,ECK0190,b0190,yaeQ,yaeQ,,77.0,0.9,18.0,,,,,,,,,,,,,20.8,6.1,o,conserved protein,Cytoplasmic,,
JW0187,ECK0191,b0191,yaeJ,yaeJ,,109.0,0.8,12.0,,,,,,,,,,,,,15.6,11.4,d,conserved protein,Cytoplasmic,,
JW0191,ECK0195,b0195,yaeB,yaeB,,86.0,2.2,58.0,,,,,,,,,,,,,26.3,8.9,o,conserved protein,Cytoplasmic,,
JW0192,ECK0196,b0196,rcsF,rcsF,,82.0,0.9,13.0,,,,,,,,,,,,,14.2,9.7,pr,"predicted outer membrane protein, signal",Outer Membrane Lipoprotein,,
JW0193,ECK0197,b0197,metQ,metQ,yaeC -!- metD,86.0,3.6,104.0,,,,,,,,,,,,,29.4,6.1,t,DL-methionine transporter subunit periplasmic-binding component of ABC superfamily,Membrane Lipoprotein,,53850; Periplasmic binding protein-like II
JW5017,ECK0209,b0209,yafD,yafD,,10.0,1.0,30.0,1.44,3.44,28.62,17.2,3.722,2.838,4.033,3.352,111.56,85.06,120.87,100.46,29.972,10.19,d,conserved protein,Cytoplasmic,,56219; DNase I-like
JW5018,ECK0211,b0211,mltD,mltD,dniR -!- yafG,29.0,1.8,86.0,,,,,,,,,,,,,49.4,10.4,pe,predicted membrane-bound lytic murein transglycosylase D,Outer Membrane Lipoprotein,,53955; Lysozyme-like 54106; LysM domain
JW0202,ECK0212,b0212,gloB,gloB,yafR,80.0,0.4,11.0,,,,,,,,,,,,,28.4,6.1,pe,predicted hydroxyacylglutathione hydrolase,Cytoplasmic,,56281; Metallo-hydrolase/oxidoreductase
JW0204,ECK0214,b0214,rnhA,rnhA,cer -!- dasF -!- herA -!- rnh -!- sdrA -!- sin,73.0,2.3,40.0,,,,,,,,,,,,,17.6,8.7,e,"ribonuclease HI, degrades RNA of DNA-RNA hybrids",Cytoplasmic,1RCH,53098; Ribonuclease H-like
JW0205,ECK0215,b0215,dnaQ,dnaQ,mutD,13.0,1.7,46.0,5.99,5.85,41.25,60.26,8.043,9.291,8.351,6.365,217.72,251.49,226.05,172.3,27.068,6.27,e,DNA polymerase III epsilon subunit,Cytoplasmic,,53098; Ribonuclease H-like
JW0206,ECK0217,b0217,yafT,yafT,,61.0,0.5,13.0,,,,,,,,,,,,,29.6,7.5,pe,predicted aminopeptidase,Outer Membrane Lipoprotein,,
JW0214,ECK0225,b0224,yafK,yafK,,26.0,1.0,27.0,,,,,,,,,,,,,28.0,9.6,o,conserved protein,Periplasmic,,
JW0215,ECK0226,b0225,yafQ,yafQ,,107.0,0.4,4.0,,,,,,,,,,,,,10.8,10.2,pf,predicted toxin of the YafQ-DinJ toxin-antitoxin system,Cytoplasmic,,
JW0216,ECK0227,b0226,dinJ,dinJ,yebG,83.0,3.8,36.0,,,,,,,,,,,,,9.4,7.4,pf,predicted antitoxin of YafQ-DinJ toxin-antitoxin system,Cytoplasmic,,
JW0217,ECK0228,b0227,yafL,yafL,,35.0,0.3,10.0,,,,,,,,,,,,,28.8,10.2,lp,predicted lipoprotein and C40 family peptidase,Periplasmic,,
JW0218,ECK0229,b0228,yafM,yafM,,47.0,0.3,7.0,,,,,,,,,,,,,20.0,10.1,o,conserved protein,Cytoplasmic,,
JW5812,ECK0231,b0230,mbhA,mbhA,,74.0,3.4,94.0,,,,,,,,,,,,,27.9,9.5,su,"flagellar system protein, promoterless fragment (pseudogene)",Cytoplasmic,,
JW5811,ECK0230,b0229,fhiA,fhiA,,9.0,0.9,58.0,,,,,,,,,,,,,62.1,6.4,su,"flagellar system protein, promoterless fragment (pseudogene)",Integral Membrane Protein,,
JW0223,ECK0234,b0233,yafO,yafO,,16.0,1.1,17.0,21.81,50.09,95.16,118.99,1.068,0.97,0.842,1.098,16.52,15.0,13.03,16.99,15.475,8.46,pf,predicted toxin of the YafO-YafN toxin-antitoxin system,Cytoplasmic,,
JW0229,ECK0240,b0239,frsA,frsA,yafA,13.0,1.0,49.0,7.78,22.58,45.02,64.36,2.554,2.165,2.429,1.759,119.97,101.67,114.05,82.6,46.964,7.07,r,"hydrolase, binds to enzyme IIA(Glc)",Cytoplasmic,,53474; alpha/beta-Hydrolases
JW0230,ECK0241,b0240,crl,crl,,87.0,2.2,34.0,,,,,,,,,,,,,15.6,7.7,r,DNA-binding transcriptional regulator,Cytoplasmic,,
JW0232,ECK0243,b0242,proB,proB,pro2 -!- pro(2),88.0,1.2,48.0,,,,,,,,,,,,,39.0,6.7,e,gamma-glutamate kinase,Cytoplasmic,,53633; Carbamate kinase-like
JW0233,ECK0244,b0243,proA,proA,proL -!- pro1 -!- pro(1),119.0,1.7,75.0,,,,,,,,,,,,,44.6,6.0,e,gamma-glutamylphosphate reductase,Cytoplasmic,,53720; ALDH-like
JW0234,ECK0246,b0245,ykfI,ykfI,,29.0,2.8,36.0,37.66,68.26,62.2,101.97,2.177,2.191,2.509,2.893,28.07,28.25,32.36,37.31,12.896,10.04,h,CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system,Cytoplasmic,,
JW0235,ECK0247,b0246,yafW,yafW,,14.0,2.4,29.0,5.13,7.31,18.37,31.01,12.506,11.645,14.164,14.798,149.19,138.93,168.97,176.54,11.93,7.28,h,CP4-6 prophage; antitoxin of the YkfI-YafW toxin-antitoxin system,Cytoplasmic,,
JW0236,ECK0249,b0247,ykfG,ykfG,,28.0,1.5,26.0,29.03,39.35,62.82,59.31,1.709,1.615,1.892,1.751,30.91,29.21,34.22,31.68,18.09,9.91,h,CP4-6 prophage; predicted DNA repair protein,Cytoplasmic,,
JW5022,ECK0250,b0248,yafX,yafX,,94.0,3.1,54.0,,,,,,,,,,,,,17.4,5.5,h,CP4-6 prophage; predicted protein,Cytoplasmic,,
JW5023,ECK0251,b0249,ykfF,ykfF,,87.0,3.7,33.0,,,,,,,,,,,,,9.0,10.4,h,CP4-6 prophage; predicted protein,Cytoplasmic,,
JW0239,ECK0252,b0250,ykfB,ykfB,,60.0,3.3,56.0,,,,,,,,,,,,,17.0,5.6,h,CP4-6 prophage; predicted protein,Periplasmic,,
JW0240,ECK0253,b0251,yafY,yafY,,27.0,0.8,28.0,6.68,22.79,9.16,56.29,2.689,2.914,2.705,2.679,88.67,96.08,89.19,88.35,32.975,8.19,h,CP4-6 prophage; predicted DNA-binding transcriptional regulator,Cytoplasmic,,46785; Winged helix
JW0242,ECK0254,b0252,yafZ,yafZ,,9.0,1.7,53.0,5.2,8.87,25.08,28.15,2.345,2.291,2.71,2.492,72.76,71.07,84.1,77.33,31.029,9.91,h,CP4-6 prophage; conserved protein,Cytoplasmic,,
JW0243,ECK0255,b0253,ykfA,ykfA,,32.0,0.6,21.0,,,,,,,,,,,,,31.9,8.1,h,CP4-6 prophage; predicted GTP-binding protein,Cytoplasmic,,52540; P-loop containing nucleotide triphosphate hydrolases
JW0244,ECK0256,b0254,perR,perR,katC,10.0,0.9,30.0,6.31,14.27,31.85,50.25,1.286,1.509,1.919,1.56,43.21,50.7,64.48,52.43,33.605,6.82,h,CP4-6 prophage; predicted DNA-binding transcriptional regulator,Cytoplasmic,,46785; Winged helix 53850; Periplasmic binding protein-like II
JW0247,ECK0259,b0257,insO,insO-1,,13.0,1.9,31.0,6.99,21.97,27.48,49.95,2.326,1.721,2.145,2.162,36.86,27.28,34.0,34.26,15.849,10.08,h,"CP4-6 prophage; partial transposase of insertion element IS911A, interrupted by insertion of IS30 element.",Cytoplasmic,,53098; Ribonuclease H-like
JW5813,ECK0260,b0258,ykfC,ykfC,,21.0,1.5,64.0,11.8,53.49,23.48,56.24,1.313,1.615,1.817,1.83,57.4,70.61,79.45,80.02,43.723,10.82,h,CP4-6 prophage; conserved protein,Cytoplasmic,,56672; DNA/RNA polymerases
JW0253,ECK0263,b0261,mmuM,mmuM,yagD,98.0,0.4,13.0,,,,,,,,,,,,,33.4,5.9,h,CP4-6 prophage; S-methylmethionine:homocysteine methyltransferase,Cytoplasmic,,
